2025-05-23 22:48:47.957 | RFID: 2A0D4602 | Weight: 0kg | Temp: 20.8 | Humidity: 44.5 | Sex: Female | Image File: 20250523_214347_2A0D4602.jpeg
2025-05-23 22:52:50.816 | RFID: C376C001 | Weight: 0kg | Temp: 20.8 | Humidity: 44.3 | Sex: Female | Image File: 20250523_214750_C376C001.jpeg
2025-05-23 22:53:38.108 | RFID: C376C001 | Weight: 0kg | Temp: 20.8 | Humidity: 44.3 | Sex: Female | Image File: 20250523_214837_C376C001.jpeg
2025-05-23 22:53:52.208 | RFID: 2A0D4602 | Weight: 0kg | Temp: 20.8 | Humidity: 44.3 | Sex: Female | Image File: 20250523_214852_2A0D4602.jpeg
2025-05-23 22:54:06.179 | RFID: 2A0D4602 | Weight: 0kg | Temp: 20.8 | Humidity: 44.2 | Sex: Female | Image File: 20250523_214906_2A0D4602.jpeg
2025-05-23 22:55:03.201 | RFID: 2A0D4602 | Weight: 0kg | Temp: 20.8 | Humidity: 44.3 | Sex: Female | Image File: 20250523_215002_2A0D4602.jpeg
2025-05-25 02:50:02.711 | RFID: FAE53502 | Weight: 0kg | Temp: 22.3 | Humidity: 52.1 | Sex: Male | Image File: 20250525_024816_FAE53502.jpeg
2025-05-25 02:50:12.213 | RFID: FAE53502 | Weight: 0kg | Temp: 22.3 | Humidity: 51.8 | Sex: Male | Image File: 20250525_024825_FAE53502.jpeg
2025-05-25 02:50:19.747 | RFID: 2A0D4602 | Weight: 0kg | Temp: 22.3 | Humidity: 51.9 | Sex: Female | Image File: 20250525_024833_2A0D4602.jpeg
2025-05-25 02:50:34.874 | RFID: 7743C001 | Weight: 0kg | Temp: 22.3 | Humidity: 51.9 | Sex: Male | Image File: 20250525_024848_7743C001.jpeg
2025-05-25 02:50:51.758 | RFID: 2A0D4602 | Weight: 0kg | Temp: 22.3 | Humidity: 51.8 | Sex: Female | Image File: 20250525_024902_2A0D4602.jpeg
2025-05-25 02:51:16.028 | RFID: 2A0D4602 | Weight: 0kg | Temp: 22.3 | Humidity: 51.8 | Sex: Female | Image File: 20250525_024929_2A0D4602.jpeg
2025-05-25 02:51:25.956 | RFID: 2A0D4602 | Weight: 0kg | Temp: 22.3 | Humidity: 51.8 | Sex: Female | Image File: 20250525_024938_2A0D4602.jpeg
2025-05-25 02:51:34.535 | RFID: C376C001 | Weight: 0kg | Temp: 22.3 | Humidity: 51.8 | Sex: Female | Image File: 20250525_024948_C376C001.jpeg
2025-05-25 02:52:02.992 | RFID: 2A0D4602 | Weight: 0kg | Temp: 22.3 | Humidity: 51.9 | Sex: Female | Image File: 20250525_025016_2A0D4602.jpeg
2025-05-25 02:52:13.870 | RFID: FAE53502 | Weight: 0kg | Temp: 22.3 | Humidity: 51.9 | Sex: Male | Image File: 20250525_025027_FAE53502.jpeg
2025-05-25 02:52:51.203 | RFID: FAE53502 | Weight: 0kg | Temp: 22.2 | Humidity: 51.9 | Sex: Male | Image File: 20250525_025102_FAE53502.jpeg
2025-05-25 02:53:58.632 | RFID: 2A0D4602 | Weight: 0kg | Temp: 22.2 | Humidity: 51.6 | Sex: Female | Image File: 20250525_025211_2A0D4602.jpeg
2025-05-25 02:54:08.668 | RFID: 2A0D4602 | Weight: 0kg | Temp: 22.2 | Humidity: 51.6 | Sex: Female | Image File: 20250525_025221_2A0D4602.jpeg
2025-05-25 02:54:24.758 | RFID: FAE53502 | Weight: 0kg | Temp: 22.2 | Humidity: 51.4 | Sex: Male | Image File: 20250525_025238_FAE53502.jpeg
2025-05-25 02:54:35.235 | RFID: FAE53502 | Weight: 0kg | Temp: 22.3 | Humidity: 51.8 | Sex: Male | Image File: 20250525_025248_FAE53502.jpeg
2025-05-25 02:54:44.232 | RFID: 7743C001 | Weight: 0kg | Temp: 22.3 | Humidity: 51.9 | Sex: Male | Image File: 20250525_025257_7743C001.jpeg
2025-05-25 02:56:31.417 | RFID: FAE53502 | Weight: 0kg | Temp: 22.1 | Humidity: 52.1 | Sex: Male | Image File: 20250525_025444_FAE53502.jpeg
2025-05-25 02:56:48.269 | RFID: FAE53502 | Weight: 0kg | Temp: 22.2 | Humidity: 51.8 | Sex: Male | Image File: 20250525_025501_FAE53502.jpeg
2025-05-25 02:57:01.519 | RFID: 2A0D4602 | Weight: 0kg | Temp: 22.2 | Humidity: 51.7 | Sex: Female | Image File: 20250525_025514_2A0D4602.jpeg
